aid,featured,first_epid,last_epid,sid,update_anchor,n_episodes,season_fraction
David Koechner,FALSE,,,21,FALSE,20,1
Taran Killam,TRUE,,,36,FALSE,22,1
Taran Killam,TRUE,,,37,FALSE,22,1
Taran Killam,FALSE,,,38,FALSE,21,1
Taran Killam,FALSE,,,39,FALSE,21,1
Taran Killam,FALSE,,,40,FALSE,21,1
Taran Killam,FALSE,,,41,FALSE,21,1
Laura Kightlinger,TRUE,,,20,FALSE,20,1
Tim Kazurinsky,FALSE,19810411,,6,FALSE,1,0.076923076923077
Tim Kazurinsky,FALSE,,,7,FALSE,20,1
Tim Kazurinsky,FALSE,,,8,FALSE,20,1
Tim Kazurinsky,FALSE,,,9,FALSE,19,1
Chris Kattan,TRUE,19960316,,21,FALSE,6,0.3
Chris Kattan,FALSE,,,22,FALSE,20,1
Chris Kattan,FALSE,,,23,FALSE,20,1
Chris Kattan,FALSE,,,24,FALSE,19,1
Chris Kattan,FALSE,,,25,FALSE,20,1
Chris Kattan,FALSE,,,26,FALSE,20,1
Chris Kattan,FALSE,,,27,FALSE,20,1
Chris Kattan,FALSE,,,28,FALSE,20,1
Colin Jost,TRUE,20140301,,39,TRUE,8,0.380952380952381
Colin Jost,TRUE,,,40,TRUE,21,1
Colin Jost,FALSE,,,41,TRUE,21,1
Colin Jost,FALSE,,,42,TRUE,21,1
Colin Jost,FALSE,,,43,TRUE,2,1
Leslie Jones,TRUE,20141025,,40,FALSE,18,0.857142857142857
Leslie Jones,TRUE,,,41,FALSE,21,1
Leslie Jones,FALSE,,,42,FALSE,21,1
Leslie Jones,FALSE,,,43,FALSE,2,1
Victoria Jackson,FALSE,,,12,FALSE,20,1
Victoria Jackson,FALSE,,,13,FALSE,13,1
Victoria Jackson,FALSE,,,14,FALSE,20,1
Victoria Jackson,FALSE,,,15,FALSE,20,1
Victoria Jackson,FALSE,,,16,FALSE,20,1
Victoria Jackson,FALSE,,,17,FALSE,20,1
Melanie Hutsell,TRUE,19911116,,17,FALSE,15,0.75
Melanie Hutsell,TRUE,,,18,FALSE,20,1
Melanie Hutsell,FALSE,,,19,FALSE,20,1
Yvonne Hudson,TRUE,19801220,,6,FALSE,9,0.692307692307692
Jan Hooks,FALSE,,,12,FALSE,20,1
Jan Hooks,FALSE,,,13,FALSE,13,1
Jan Hooks,FALSE,,,14,FALSE,20,1
Jan Hooks,FALSE,,,15,FALSE,20,1
Jan Hooks,FALSE,,,16,FALSE,20,1
Phil Hartman,FALSE,,,12,FALSE,20,1
Phil Hartman,FALSE,,,13,FALSE,13,1
Phil Hartman,FALSE,,,14,FALSE,20,1
Phil Hartman,FALSE,,,15,FALSE,20,1
Phil Hartman,FALSE,,,16,FALSE,20,1
Phil Hartman,FALSE,,,17,FALSE,20,1
Phil Hartman,FALSE,,,18,FALSE,20,1
Phil Hartman,FALSE,,,19,FALSE,20,1
Darrell Hammond,FALSE,,,21,FALSE,20,1
Darrell Hammond,FALSE,,,22,FALSE,20,1
Darrell Hammond,FALSE,,,23,FALSE,20,1
Darrell Hammond,FALSE,,,24,FALSE,19,1
Darrell Hammond,FALSE,,,25,FALSE,20,1
Darrell Hammond,FALSE,,,26,FALSE,20,1
Darrell Hammond,FALSE,,,27,FALSE,20,1
Darrell Hammond,FALSE,,,28,FALSE,20,1
Darrell Hammond,FALSE,,,29,FALSE,20,1
Darrell Hammond,FALSE,,,30,FALSE,20,1
Darrell Hammond,FALSE,,,31,FALSE,19,1
Darrell Hammond,FALSE,,,32,FALSE,20,1
Darrell Hammond,FALSE,,,33,FALSE,12,1
Darrell Hammond,FALSE,,,34,FALSE,22,1
Rich Hall,FALSE,,,10,FALSE,17,1
Brad Hall,FALSE,,,8,TRUE,20,1
Brad Hall,FALSE,,,9,TRUE,19,1
Anthony Michael Hall,FALSE,,,11,FALSE,18,1
Bill Hader,TRUE,,,31,FALSE,19,1
Bill Hader,FALSE,,,32,FALSE,20,1
Bill Hader,FALSE,,,33,FALSE,12,1
Bill Hader,FALSE,,,34,FALSE,22,1
Bill Hader,FALSE,,,35,FALSE,22,1
Bill Hader,FALSE,,,36,FALSE,22,1
Bill Hader,FALSE,,,37,FALSE,22,1
Bill Hader,FALSE,,,38,FALSE,21,1
Christopher Guest,FALSE,,,10,TRUE,17,1
Mary Gross,FALSE,,,7,TRUE,20,1
Mary Gross,FALSE,,,8,FALSE,20,1
Mary Gross,FALSE,,,9,FALSE,19,1
Mary Gross,FALSE,,,10,FALSE,17,1
Gilbert Gottfried,FALSE,,,6,FALSE,13,1
Ana Gasteyer,FALSE,,,22,FALSE,20,1
Ana Gasteyer,FALSE,,,23,FALSE,20,1
Ana Gasteyer,FALSE,,,24,FALSE,19,1
Ana Gasteyer,FALSE,,,25,FALSE,20,1
Ana Gasteyer,FALSE,,,26,FALSE,20,1
Ana Gasteyer,FALSE,,,27,FALSE,20,1
Janeane Garofalo,FALSE,,19950225,20,FALSE,14,0.7
Heidi Gardner,TRUE,,,43,FALSE,2,1
Al Franken,TRUE,,,3,FALSE,20,1
Al Franken,TRUE,,,4,FALSE,20,1
Al Franken,TRUE,19791215,,5,FALSE,14,0.7
Al Franken,TRUE,19860322,,11,FALSE,6,0.333333333333333
Al Franken,TRUE,,,14,FALSE,20,1
Al Franken,TRUE,,,15,FALSE,20,1
Al Franken,TRUE,,,16,FALSE,20,1
Al Franken,TRUE,,,17,FALSE,20,1
Al Franken,TRUE,,,18,FALSE,20,1
Al Franken,TRUE,,,19,FALSE,20,1
Al Franken,TRUE,,,20,FALSE,20,1
Will Forte,TRUE,,,28,FALSE,20,1
Will Forte,FALSE,,,29,FALSE,20,1
Will Forte,FALSE,,,30,FALSE,20,1
Will Forte,FALSE,,,31,FALSE,19,1
Will Forte,FALSE,,,32,FALSE,20,1
Will Forte,FALSE,,,33,FALSE,12,1
Will Forte,FALSE,,,34,FALSE,22,1
Will Forte,FALSE,,,35,FALSE,22,1
Tina Fey,TRUE,,,26,TRUE,20,1
Tina Fey,FALSE,,,27,TRUE,20,1
Tina Fey,FALSE,,,28,TRUE,20,1
Tina Fey,FALSE,,,29,TRUE,20,1
Tina Fey,FALSE,,,30,TRUE,20,1
Tina Fey,FALSE,,,31,TRUE,19,1
Will Ferrell,FALSE,,,21,FALSE,20,1
Will Ferrell,FALSE,,,22,FALSE,20,1
Will Ferrell,FALSE,,,23,FALSE,20,1
Will Ferrell,FALSE,,,24,FALSE,19,1
Will Ferrell,FALSE,,,25,FALSE,20,1
Will Ferrell,FALSE,,,26,FALSE,20,1
Will Ferrell,FALSE,,,27,FALSE,20,1
Chris Farley,TRUE,,,16,FALSE,20,1
Chris Farley,FALSE,,,17,FALSE,20,1
Chris Farley,FALSE,,,18,FALSE,20,1
Chris Farley,FALSE,,,19,FALSE,20,1
Chris Farley,FALSE,,,20,FALSE,20,1
Siobhan Fallon,TRUE,,,17,FALSE,20,1
Jimmy Fallon,TRUE,,,24,FALSE,19,1
Jimmy Fallon,FALSE,,,25,FALSE,20,1
Jimmy Fallon,FALSE,,,26,TRUE,20,1
Jimmy Fallon,FALSE,,,27,TRUE,20,1
Jimmy Fallon,FALSE,,,28,TRUE,20,1
Jimmy Fallon,FALSE,,,29,TRUE,20,1
Chris Elliott,FALSE,,,20,FALSE,20,1
Abby Elliott,TRUE,20081115,,34,FALSE,15,0.681818181818182
Abby Elliott,TRUE,,,35,FALSE,22,1
Abby Elliott,FALSE,,,36,FALSE,22,1
Abby Elliott,FALSE,,,37,FALSE,22,1
Dean Edwards,TRUE,,,27,FALSE,20,1
Dean Edwards,TRUE,,,28,FALSE,20,1
Christine Ebersole,FALSE,,,7,TRUE,20,1
Nora Dunn,FALSE,,,11,FALSE,18,1
Nora Dunn,FALSE,,,12,FALSE,20,1
Nora Dunn,FALSE,,,13,FALSE,13,1
Nora Dunn,FALSE,,,14,FALSE,20,1
Nora Dunn,FALSE,,,15,FALSE,20,1
Robin Duke,FALSE,19810411,,6,FALSE,1,0.076923076923077
Robin Duke,FALSE,,,7,FALSE,20,1
Robin Duke,FALSE,,,8,FALSE,20,1
Robin Duke,FALSE,,,9,FALSE,19,1
Rachel Dratch,TRUE,19991023,,25,FALSE,18,0.9
Rachel Dratch,TRUE,,,26,FALSE,20,1
Rachel Dratch,FALSE,,,27,FALSE,20,1
Rachel Dratch,FALSE,,,28,FALSE,20,1
Rachel Dratch,FALSE,,,29,FALSE,20,1
Rachel Dratch,FALSE,,,30,FALSE,20,1
Rachel Dratch,FALSE,,,31,FALSE,19,1
Brian Doyle-Murray,TRUE,19800126,,5,FALSE,12,0.6
Brian Doyle-Murray,TRUE,,,7,TRUE,20,1
Robert Downey Jr.,FALSE,,,11,FALSE,18,1
Jim Downey,TRUE,19800126,,5,FALSE,12,0.6
Denny Dillon,FALSE,,,6,FALSE,13,1
Mikey Day,TRUE,,,42,FALSE,21,1
Mikey Day,TRUE,,,43,FALSE,2,1
Tom Davis,TRUE,,,3,FALSE,20,1
Tom Davis,TRUE,,,4,FALSE,20,1
Tom Davis,TRUE,19791117,,5,FALSE,16,0.8
Pete Davidson,TRUE,,,40,FALSE,21,1
Pete Davidson,TRUE,,,41,FALSE,21,1
Pete Davidson,FALSE,,,42,FALSE,21,1
Pete Davidson,FALSE,,,43,FALSE,2,1
Joan Cusack,FALSE,,,11,FALSE,18,1
Jane Curtin,FALSE,,,1,FALSE,24,1
Jane Curtin,FALSE,,,2,TRUE,22,1
Jane Curtin,FALSE,,,3,TRUE,20,1
Jane Curtin,FALSE,,,4,TRUE,20,1
Jane Curtin,FALSE,,,5,TRUE,20,1
Billy Crystal,FALSE,,,10,FALSE,17,1
George Coe,FALSE,,19751011,1,FALSE,1,0.041666666666667
Ellen Cleghorne,TRUE,,,17,FALSE,20,1
Ellen Cleghorne,TRUE,,,18,FALSE,20,1
Ellen Cleghorne,FALSE,,,19,FALSE,20,1
Ellen Cleghorne,FALSE,,,20,FALSE,20,1
Michael Che,TRUE,,,40,TRUE,21,1
Michael Che,TRUE,,,41,TRUE,21,1
Michael Che,FALSE,,,42,TRUE,21,1
Michael Che,FALSE,,,43,TRUE,2,1
Dana Carvey,FALSE,,,12,FALSE,20,1
Dana Carvey,FALSE,,,13,FALSE,13,1
Dana Carvey,FALSE,,,14,FALSE,20,1
Dana Carvey,FALSE,,,15,FALSE,20,1
Dana Carvey,FALSE,,,16,FALSE,20,1
Dana Carvey,FALSE,,,17,FALSE,20,1
Dana Carvey,FALSE,,19930206,18,FALSE,12,0.6
Beth Cahill,TRUE,19911116,,17,FALSE,15,0.75
Aidy Bryant,TRUE,,,38,FALSE,21,1
Aidy Bryant,FALSE,,,39,FALSE,21,1
Aidy Bryant,FALSE,,,40,FALSE,21,1
